airport_code;region;country;latitude;longitude
SWO;Oklahoma;United States;36.1156306;-97.0585717
GCY;Tennessee;United States;36.1631575;-82.8309861
FAM;Missouri;United States;37.7803037;-90.4226371
NZJ;California;United States;33.7494951;-117.873221
OWA;Minnesota;United States;44.0839937;-93.2261076
AWX;Texas;United States;32.2690953;-102.6042447
TN6;Tennessee;United States;36.0346393;-89.3857496
PRZ;Oregon;United States;44.2998261;-120.834972
HUM;Louisiana;United States;29.5957696;-90.7195348
WVL;Maine;United States;44.3169922;-69.7734278
NC3;North Carolina;United States;35.2923513;-81.5356463
HLM;Michigan;United States;42.7876022;-86.1090828
MDD;Texas;United States;31.83688;-102.0103767
CUB;South Carolina;United States;34.0003117;-81.0331309
SVH;North Carolina;United States;35.7826363;-80.8872959
DQU;Alaska;United States;55.3430696;-131.6466819
MIW;Iowa;United States;42.048881;-92.9122672
PBF;Arkansas;United States;34.2157064;-92.0140402
DLF;Texas;United States;29.357515;-100.8987707
JZU;Vermont;United States;42.8788667;-73.1968205
VWH;Texas;United States;31.83688;-102.0103767
FEP;Illinois;United States;42.2966861;-89.6212271
WMH;Arkansas;United States;36.3361391;-92.3801187
WFB;Alaska;United States;55.3430696;-131.6466819
GRD;South Carolina;United States;34.1489805;-82.112882
WGO;Virginia;United States;39.1852184;-78.1652404
ULS;Kansas;United States;37.6922361;-97.3375448
PMH;Ohio;United States;38.7345374;-82.9962742
MS1;Mississippi;United States;33.772401;-89.7674875
